,date,content,title,score
0,2021-03-28 14:27:35,"Não consegui fazer as fotografias seguindo as instruções, mesmo com a ajuda de um fotógrafo profissional. Dá erro sempre. Se tiverem alguma dica para isso, por favor, me digam.",Erro na identificação por foto.,2
1,2021-04-29 16:50:38,Tentei várias vezes e não deu certo.,Prova de vida.,2
2,2021-04-26 16:53:48,"No reconhecimento facial , o app pede para tirar foto mas não dá tempo para o usuário apertar o botão de tirar foto. 

O reconhecimento para direita e para esquerda está descalibrado, se vc virar o rosto 90 graus , ele não reconhece . Tem que virar o rosto uns 45 graus",Amador em termos de UX,2
3,2021-04-21 18:08:39,"Tentei várias vezes, com fundos diversos, iluminação de qualidade e simplesmente após a foto não reconhece. 👎",A biometria não funciona,2
4,2021-10-30 15:20:42,Deveriam melhorar e muito o reconhecimento facial e também a forma de validação por banco que é péssima.,Nada simples e bem complicado,2
5,2021-10-27 21:46:11,Quando eu coloco o CPF que ainda não possui um cadastro no gov.br ao clicar no botão continuar o mesmo não sai do lugar!,Não estou conseguindo criar uma conta,2
6,2021-10-15 11:48:32,Já fiz mais de 10x e ele não funciona,O reconhecimento facial NÃO FUNCIONA,2
7,2021-10-14 13:55:56,Trava muito e usa mmmmmmuita bateria,Trava,2
8,2021-10-14 13:51:24,"Não é possível! Me pedem para digitar o CPF para criar minha conta, depois pedem minha senha????
Nao tem nenhum link direto para: CRIAR CONTA 
Zero intuitivo!!!",Nao tem opção de criar conta,2
9,2021-10-04 22:19:00,Quando faço biometria facial das pessoas ele trava muito,Precisa de melhoras,2
10,2021-10-01 15:26:02,"Não consigo fazer nada , não consigo trocar e-mail , não consigo trocar a senha que esqueci ! Eu estou sem receber",Urgente,2
11,2021-09-28 21:18:37,"Excesso de opções de acesso, mas com muita dificuldade para o usuário. Captchas repetitivos e confusos.",Navegação confusa,2
12,2021-09-28 17:01:09,"Até que a ideia é boa, só esqueceram de combinar com os sistemas que era para aceitar o acesso, como é o caso do E-cac que não está funcionando o login por aqui",Mais ou menos,2
13,2021-09-27 14:52:24,Obrigado,037016750205,2
14,2021-09-24 19:55:40,"Mesma coisa já reportada aqui

Vira pra lá pra cá pra no final não reconhecido 

Entendo o esforço mas …",Biometria não funciona,2
15,2021-09-18 11:08:33,O reconhecimento facial simplesmente nao funciona. Porque não usa a biometria do Iphone?,Reconhecimento facial não funciona,2
16,2021-09-17 18:42:19,Okay,"Tem que repetir, muitas vezes não aceita os pedidos.",2
17,2021-09-17 17:17:54,Não consigo desinstalar ele do iPhone,Não funciona,2
