,date,content,title,score
0,2021-02-11 14:37:55,"Já estou com dor no pescoço de tanto virar o rosto para esquerda e direita. Não reconhece o óbvio. A biometria não funciona. Já tentei com luz natural, artificial, câmeras dianteira, traseira, durante o dia, com a câmera mais acima, mais abaixo. Nada... precisa melhorar muito para ficar ruim.","Porcaria, não funciona",1
1,2021-09-15 16:05:25,"Estou sem acesso às minhas informações porque o aplicativo recém lançado do governo (SouGov.br) acondiciona o login do app à conta Gov.br. o fato é que a verificação em duas etapas exigida pra liberar o acesso às informações simplesmente não funciona. Após inserir email e senha, uma mensagem informa que o código foi enviado para o celular cadastrado, mas ele nunca chega. O Curioso é que ao tentar alterar a senha de acesso à conta escolhendo como opção de confirmação ""celular"", o código chega normalmente via SMS. Ou seja, eu consigo trocar de senha usando a opção celular, mas quando é para validar o acesso no app Gov.br, e passar pela bendida verificação em 2 etapas, o SMS não chega. Por esse motivo perdi acesso a minha cnh digital , minha CLT digital  e meu acesso. A ConecteSUS . Como pode isso .  tudo por que esse código de duas etapas não chega.",por que esse código de duas etapas não chega.,1
2,2021-04-23 20:52:35,"Toda vez que abro tenho que fazer cadastro facial. Já refiz umas 1000 vezes.
Salva as configurações, mas sempre que abro pra utilizar o sistema pede pra refazer tudo de novo.
Loop infinito.",Será que vai piorar?,1
3,2020-10-26 13:40:45,"Péssimo, estou a 3 dias tentando me cadastrar.
Nao consigo finalizar.
Diz q meu CPF ja esta cadastrado mas não tenho senha de acesso.
E qdo tento recuperar a senha, da erro e pede para tentar mais tarde.",Péssimo,1
4,2021-04-03 19:11:23,"Ao invés de usar a biometria do celular, querem desenvolver a própria... e é ruim demais. Não dá pra passar dessa etapa",Porcaria,1
5,2021-04-02 19:18:36,Estou a dias tentando e nada 🤦‍♀️não funciona,Péssimo,1
6,2021-03-29 15:42:40,"Impossível conseguir a biometria facial, tentei várias vezes, imagina como é com os idosos. Precisa melhorar muito",Muito ruim!,1
7,2020-12-04 12:17:11,"Pode ser por segurança, mas se eu, com 24 anos, tive uma dificuldade imensa para passar pelo processo de validação, tenho pena dos idosos que necessitarem acessar o app, afins de evitar aglomerações e etc.",Difícil,1
8,2021-10-03 01:26:52,"Assim como tudo q vem do Governo, n poderia esperar menos do App. :/",Horrorível,1
9,2021-10-02 02:29:02,Impossível realizar o reconhecimento facial.,Continua impossível o reconhecimento facial,1
